identity_line_item_id,bill_billing_period_start_date,line_item_usage_account_id,product_product_name,line_item_usage_type,pricing_public_on_demand_cost,line_item_usage_start_date,line_item_usage_end_date
li-1972191,2025-06-01,354080669771,AmazonRDS,TimedStorage-S3,8.896,2025-06-29T11:00Z,2025-06-29T12:00Z
li-6620553,2025-07-01,604640718990,AmazonRDS,InstanceUsage:rds.t3.medium,8.163,2025-07-12T14:00Z,2025-07-12T15:00Z
li-2249558,2025-06-01,964150049463,AmazonEC2,BoxUsage:m6i.xlarge,0.510,2025-06-24T17:00Z,2025-06-24T18:00Z
li-8513425,2025-06-01,909698159087,AmazonEC2,TimedStorage-S3,7.159,2025-06-21T18:00Z,2025-06-21T19:00Z
li-1857275,2025-07-01,278414401569,AmazonS3,BoxUsage:m6i.xlarge,2.655,2025-07-09T09:00Z,2025-07-09T10:00Z
li-3044213,2025-07-01,548121146588,AmazonS3,BoxUsage:m6i.xlarge,6.702,2025-07-11T09:00Z,2025-07-11T10:00Z
li-5415636,2025-06-01,122468316875,AmazonS3,InstanceUsage:rds.t3.medium,7.606,2025-06-21T18:00Z,2025-06-21T19:00Z
li-1601006,2025-06-01,452401766408,AmazonRDS,InstanceUsage:rds.t3.medium,2.087,2025-06-25T17:00Z,2025-06-25T18:00Z
li-4023147,2025-06-01,924171713092,AmazonRDS,BoxUsage:m6i.xlarge,7.496,2025-06-25T18:00Z,2025-06-25T19:00Z
li-5670571,2025-06-01,755316929054,AmazonRDS,BoxUsage:m6i.xlarge,7.990,2025-06-21T06:00Z,2025-06-21T07:00Z
li-6650648,2025-07-01,295806722285,AmazonRDS,BoxUsage:m6i.xlarge,5.089,2025-07-13T06:00Z,2025-07-13T07:00Z
li-4525393,2025-07-01,965823220145,AmazonEC2,InstanceUsage:rds.t3.medium,8.128,2025-07-01T19:00Z,2025-07-01T20:00Z
li-4800395,2025-07-01,673747997338,AmazonS3,TimedStorage-S3,6.707,2025-07-11T19:00Z,2025-07-11T20:00Z
li-4797051,2025-07-01,244635619702,AmazonS3,BoxUsage:m6i.xlarge,1.149,2025-07-17T19:00Z,2025-07-17T20:00Z
